id_number,name,type_1,type_2,alternative_types,stat_total,HP,Attack,Defense,Special Attack,Special Defense,Speed
,,,,,,,,,,,
1,Bulbasaur,Grass,Poison,No alternate type,318,45,49,49,65,65,45
,,,,,,,,,,,
2,Ivysaur,Grass,Poison,No alternate type,405,60,62,63,80,80,60
,,,,,,,,,,,
3,Venusaur,Grass,Poison,No alternate type,525,80,82,83,100,100,80
,,,,,,,,,,,
4,Charmander,Fire,No second type,No alternate type,309,39,52,43,60,50,65
,,,,,,,,,,,
5,Charmeleon,Fire,No second type,No alternate type,405,58,64,58,80,65,80
,,,,,,,,,,,
6,Charizard,Fire,Flying,No alternate type,534,78,84,78,109,85,100
,,,,,,,,,,,
7,Squirtle,Water,No second type,No alternate type,314,44,48,65,50,64,43
,,,,,,,,,,,
8,Wartortle,Water,No second type,No alternate type,405,59,63,80,65,80,58
,,,,,,,,,,,
9,Blastoise,Water,No second type,No alternate type,530,79,83,100,85,105,78
,,,,,,,,,,,
10,Caterpie,Bug,No second type,No alternate type,195,45,30,35,20,20,45
,,,,,,,,,,,
11,Metapod,Bug,No second type,No alternate type,205,50,20,55,25,25,30
,,,,,,,,,,,
12,Butterfree,Bug,Flying,No alternate type,395,60,45,50,90,80,70
,,,,,,,,,,,
13,Weedle,Bug,Poison,No alternate type,195,40,35,30,20,20,50
,,,,,,,,,,,
14,Kakuna,Bug,Poison,No alternate type,205,45,25,50,25,25,35
,,,,,,,,,,,
15,Beedrill,Bug,Poison,No alternate type,395,65,90,40,45,80,75
,,,,,,,,,,,
16,Pidgey,Normal,Flying,No alternate type,251,40,45,40,35,35,56
,,,,,,,,,,,
17,Pidgeotto,Normal,Flying,No alternate type,349,63,60,55,50,50,71
,,,,,,,,,,,
18,Pidgeot,Normal,Flying,No alternate type,479,83,80,75,70,70,101
,,,,,,,,,,,
19,Rattata,Normal,Dark,Normal,253,30,56,35,25,35,72
,,,,,,,,,,,
20,Raticate,Normal,Dark,Normal,413,75,71,70,40,80,77
,,,,,,,,,,,
21,Spearow,Normal,Flying,No alternate type,262,40,60,30,31,31,70
,,,,,,,,,,,
22,Fearow,Normal,Flying,No alternate type,442,65,90,65,61,61,100
,,,,,,,,,,,
23,Ekans,Poison,No second type,No alternate type,288,35,60,44,40,54,55
,,,,,,,,,,,
24,Arbok,Poison,No second type,No alternate type,448,60,95,69,65,79,80
,,,,,,,,,,,
25,Pikachu,Electric,No second type,No alternate type,320,45,80,50,75,60,120
,,,,,,,,,,,
26,Raichu,Electric,Electric,Psychic,485,60,85,50,95,85,110
,,,,,,,,,,,
27,Sandshrew,Ground,Ice,Steel,300,50,75,90,10,35,40
,,,,,,,,,,,
28,Sandslash,Ground,Ice,Steel,450,75,100,120,25,65,65
,,,,,,,,,,,
29,Nidoran♀,Poison,No second type,No alternate type,275,55,47,52,40,40,41
,,,,,,,,,,,
30,Nidorina,Poison,No second type,No alternate type,365,70,62,67,55,55,56
,,,,,,,,,,,
31,Nidoqueen,Poison,Ground,No alternate type,505,90,92,87,75,85,76
,,,,,,,,,,,
32,Nidoran♂,Poison,No second type,No alternate type,273,46,57,40,40,40,50
,,,,,,,,,,,
33,Nidorino,Poison,No second type,No alternate type,365,61,72,57,55,55,65
,,,,,,,,,,,
34,Nidoking,Poison,Ground,No alternate type,505,81,102,77,85,75,85
,,,,,,,,,,,
35,Clefairy,Fairy,No second type,No alternate type,323,70,45,48,60,65,35
,,,,,,,,,,,
36,Clefable,Fairy,No second type,No alternate type,483,95,70,73,95,90,60
,,,,,,,,,,,
37,Vulpix,Fire,Ice,No alternate type,299,38,41,40,50,65,65
,,,,,,,,,,,
38,Ninetales,Fire,Ice,Fairy,505,73,67,75,81,100,109
,,,,,,,,,,,
39,Jigglypuff,Normal,Fairy,No alternate type,270,115,45,20,45,25,20
,,,,,,,,,,,
40,Wigglytuff,Normal,Fairy,No alternate type,435,140,70,45,85,50,45
,,,,,,,,,,,
41,Zubat,Poison,Flying,No alternate type,245,40,45,35,30,40,55
,,,,,,,,,,,
42,Golbat,Poison,Flying,No alternate type,455,75,80,70,65,75,90
,,,,,,,,,,,
43,Oddish,Grass,Poison,No alternate type,320,45,50,55,75,65,30
,,,,,,,,,,,
44,Gloom,Grass,Poison,No alternate type,395,60,65,70,85,75,40
,,,,,,,,,,,
45,Vileplume,Grass,Poison,No alternate type,490,75,80,85,110,90,50
,,,,,,,,,,,
46,Paras,Bug,Grass,No alternate type,285,35,70,55,45,55,25
,,,,,,,,,,,
47,Parasect,Bug,Grass,No alternate type,405,60,95,80,60,80,30
,,,,,,,,,,,
48,Venonat,Bug,Poison,No alternate type,305,60,55,50,40,55,45
,,,,,,,,,,,
49,Venomoth,Bug,Poison,No alternate type,450,70,65,60,90,75,90
,,,,,,,,,,,
50,Diglett,Ground,Ground,Steel,265,10,55,30,35,45,90
,,,,,,,,,,,
51,Dugtrio,Ground,Ground,Steel,425,35,100,60,50,70,110
,,,,,,,,,,,
52,Meowth,Normal,Dark,No alternate type,290,40,35,35,50,40,90
,,,,,,,,,,,
53,Persian,Normal,Dark,No alternate type,440,65,60,60,75,65,115
,,,,,,,,,,,
54,Psyduck,Water,No second type,No alternate type,320,50,52,48,65,50,55
,,,,,,,,,,,
55,Golduck,Water,No second type,No alternate type,500,80,82,78,95,80,85
,,,,,,,,,,,
56,Mankey,Fighting,No second type,No alternate type,305,40,80,35,35,45,70
,,,,,,,,,,,
57,Primeape,Fighting,No second type,No alternate type,455,65,105,60,60,70,95
,,,,,,,,,,,
58,Growlithe,Fire,No second type,No alternate type,350,55,70,45,70,50,60
,,,,,,,,,,,
59,Arcanine,Fire,No second type,No alternate type,555,90,110,80,100,80,95
,,,,,,,,,,,
60,Poliwag,Water,No second type,No alternate type,300,40,50,40,40,40,90
,,,,,,,,,,,
